Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Mountain,42,0,-79,0,0,0,20,20,20
Mountain,42,0,-83,0,0,0,20,20,30
Mountain,42,0,-87,0,0,0,20,20,30
Mountain,42,0,-91,0,0,0,20,20,20
Mountain,42,0,-95,0,0,0,20,20,15
Mountain,42,0,-99,0,0,0,20,20,40
Mountain,42,0,-103,0,0,0,20,20,40
Mountain,42,0,-107,0,0,0,20,20,30
Mountain,38,0,-107,0,0,0,20,20,30
Mountain,38,0,-112,0,0,0,20,20,30
Mountain,38,0,-116,0,0,0,20,20,20
Mountain,38,0,-120,0,0,0,20,20,15
Mountain,34,0,-120,0,0,0,20,20,25
Mountain,30,0,-120,0,0,0,20,20,17
Mountain,26,0,-120,0,0,0,20,20,25
Mountain,22,0,-120,0,0,0,20,20,19
Mountain,22,0,-116,0,0,0,20,20,40
Mountain,22,0,-112,0,0,0,20,20,40
Mountain,22,0,-107,0,0,0,20,20,40
Mountain,18,0,-107,0,0,0,20,20,25
Mountain,18,0,-103,0,0,0,20,20,25
Mountain,18,0,-99,0,0,0,20,20,25
Mountain,14,0,-99,0,0,0,20,20,33
Mountain,14,0,-95,0,0,0,20,20,25
Mountain,10,0,-95,0,0,0,20,20,25
Mountain,6,0,-95,0,0,0,20,20,40
Mountain,6,0,-91,0,0,0,20,20,20
Mountain,2,0,-87,0,0,0,20,20,25
Mountain,-2,0,-87,0,0,0,20,20,20
Mountain,-6,0,-87,0,0,0,20,20,30
Mountain,-10,0,-87,0,0,0,20,20,40
Mountain,-14,0,-87,0,0,0,20,20,25
Mountain,-18,0,-87,0,0,0,20,20,30
Mountain,-18,0,-83,0,0,0,20,20,40
Mountain,-18,0,-79,0,0,0,20,20,15
Mountain,-18,0,-75,0,0,0,20,20,20
Mountain,-18,0,-71,0,0,0,20,20,30
Mountain,-18,0,-67,0,0,0,20,20,30
Mountain,-18,0,-63,0,0,0,20,20,20
Mountain,-14,0,-63,0,0,0,20,20,25
Mountain,-10,0,-63,0,0,0,20,20,40
Mountain,-6,0,-63,0,0,0,20,20,30
Mountain,-2,0,-63,0,0,0,20,20,20
Mountain,2,0,-63,0,0,0,20,20,25
Mountain,6,0,-63,0,0,0,20,20,25
Mountain,6,0,-59,0,0,0,20,20,20
Mountain,6,0,-55,0,0,0,20,20,25
Mountain,6,0,-51,0,0,0,20,20,40
Mountain,6,0,-47,0,0,0,20,20,30
Mountain,6,0,-43,0,0,0,20,20,20
Mountain,6,0,-39,0,0,0,20,20,25
Mountain,10,0,-39,0,0,0,20,20,25
Mountain,14,0,-39,0,0,0,20,20,30
Mountain,18,0,-39,0,0,0,20,20,30
Mountain,18,0,-35,0,0,0,20,20,60
Mountain,18,0,-31,0,0,0,20,20,30
Mountain,18,0,-27,0,0,0,20,20,40
Mountain,18,0,-23,0,0,0,20,20,25
Mountain,14,0,-19,0,0,0,20,20,40
Mountain,14,0,-15,0,0,0,20,20,25
Mountain,14,0,-11,0,0,0,20,20,40
Mountain,14,0,-7,0,0,0,20,20,30
Mountain,14,0,-3,0,0,0,20,20,20
Mountain,14,0,1,0,0,0,20,20,25
Mountain,14,0,5,0,0,0,20,20,20
Mountain,10,0,5,0,0,0,20,20,25
Mountain,6,0,5,0,0,0,20,20,40
Mountain,2,0,5,0,0,0,20,20,40
Mountain,-2,0,1,0,0,0,20,20,20
Mountain,-6,0,-3,0,0,0,20,20,40
Mountain,-10,0,-3,0,0,0,20,20,25
Mountain,-14,0,-3,0,0,0,20,20,25
Mountain,-18,0,-3,0,0,0,20,20,30
Mountain,-22,0,1,0,0,0,20,20,30
Mountain,-26,0,1,0,0,0,20,20,40
Mountain,-30,0,-3,0,0,0,20,20,30
Mountain,-34,0,-3,0,0,0,20,20,40
Mountain,-38,0,1,0,0,0,20,20,40
Mountain,-42,0,5,0,0,0,20,20,25
Mountain,-46,0,9,0,0,0,20,20,40
Mountain,-50,0,9,0,0,0,20,20,30
Mountain,-54,0,9,0,0,0,20,20,20
Mountain,-54,0,13,0,0,0,20,20,25
Mountain,-54,0,17,0,0,0,20,20,40
Mountain,-54,0,21,0,0,0,20,20,25
Mountain,-54,0,25,0,0,0,20,20,20
Mountain,-54,0,29,0,0,0,20,20,25
Mountain,-54,0,33,0,0,0,20,20,40
Mountain,-54,0,37,0,0,0,20,20,30
Mountain,-54,0,41,0,0,0,20,20,20
Mountain,-54,0,45,0,0,0,20,20,25
Mountain,-54,0,49,0,0,0,20,20,25
Mountain,-54,0,53,0,0,0,20,20,40
Mountain,-54,0,57,0,0,0,20,20,30
Mountain,-54,0,61,0,0,0,20,20,20
Mountain,-54,0,65,0,0,0,20,20,25
Mountain,-58,0,65,0,0,0,20,20,40
Mountain,-62,0,65,0,0,0,20,20,30
Mountain,-66,0,65,0,0,0,20,20,20
Mountain,-70,0,65,0,0,0,20,20,40
Mountain,-74,0,65,0,0,0,20,20,40
Mountain,-78,0,65,0,0,0,20,20,40
Mountain,-78,0,69,0,0,0,20,20,30
Mountain,-78,0,73,0,0,0,20,20,30
Mountain,-78,0,77,0,0,0,20,20,25
Mountain,-78,0,81,0,0,0,20,20,20
Mountain,-78,0,85,0,0,0,20,20,30
Mountain,-78,0,89,0,0,0,20,20,20
Mountain,-78,0,93,0,0,0,20,20,60
Mountain,-78,0,97,0,0,0,20,20,30
Mountain,-78,0,101,0,0,0,20,20,30
Mountain,-78,0,105,0,0,0,20,20,20
Mountain,-78,0,109,0,0,0,20,20,30
Mountain,-74,0,109,0,0,0,20,20,20
Mountain,-70,0,109,0,0,0,20,20,30
Mountain,-66,0,109,0,0,0,20,20,25
Mountain,-62,0,109,0,0,0,20,20,20
Mountain,-58,0,109,0,0,0,20,20,30
Mountain,-54,0,109,0,0,0,20,20,40
Mountain,-50,0,109,0,0,0,20,20,25
Mountain,-46,0,109,0,0,0,20,20,30
Mountain,-42,0,109,0,0,0,20,20,60
Mountain,-38,0,109,0,0,0,20,20,40
Mountain,-34,0,109,0,0,0,20,20,25
Mountain,-30,0,109,0,0,0,20,20,30
Mountain,-26,0,109,0,0,0,20,20,25
Mountain,-22,0,109,0,0,0,20,20,30
Mountain,-18,0,109,0,0,0,20,20,30
Mountain,-14,0,109,0,0,0,20,20,60
Mountain,-14,0,105,0,0,0,20,20,30
Mountain,-14,0,101,0,0,0,20,20,30
Mountain,-14,0,97,0,0,0,20,20,20
Mountain,-14,0,93,0,0,0,20,20,40
Mountain,-14,0,89,0,0,0,20,20,30
Mountain,-14,0,85,0,0,0,20,20,30
Mountain,-14,0,81,0,0,0,20,20,25
Mountain,-14,0,77,0,0,0,20,20,20
Mountain,-14,0,73,0,0,0,20,20,30
Mountain,-14,0,69,0,0,0,20,20,20
Mountain,-14,0,65,0,0,0,20,20,40
Mountain,-18,0,65,0,0,0,20,20,40
Mountain,-22,0,65,0,0,0,20,20,40
Mountain,-26,0,65,0,0,0,20,20,30
Mountain,-30,0,65,0,0,0,20,20,20
Mountain,-34,0,65,0,0,0,20,20,40
Mountain,-38,0,65,0,0,0,20,20,40
Mountain,-38,0,61,0,0,0,20,20,20
Mountain,-38,0,57,0,0,0,20,20,30
Mountain,-38,0,53,0,0,0,20,20,40
Mountain,-38,0,49,0,0,0,20,20,25
Mountain,-38,0,45,0,0,0,20,20,25
Mountain,-38,0,41,0,0,0,20,20,20
Mountain,-38,0,37,0,0,0,20,20,30
Mountain,-38,0,33,0,0,0,20,20,40
Mountain,-38,0,29,0,0,0,20,20,25
Mountain,-38,0,25,0,0,0,20,20,20
Mountain,-34,0,25,0,0,0,20,20,40
Mountain,-30,0,25,0,0,0,20,20,20
Mountain,-26,0,25,0,0,0,20,20,30
Mountain,-22,0,25,0,0,0,20,20,40
Mountain,-18,0,25,0,0,0,20,20,20
Mountain,-14,0,25,0,0,0,20,20,20
Mountain,-10,0,29,0,0,0,20,20,25
Mountain,-6,0,33,0,0,0,20,20,40
Mountain,-2,0,33,0,0,0,20,20,20
Mountain,2,0,33,0,0,0,20,20,20
Mountain,6,0,33,0,0,0,20,20,25
Mountain,10,0,33,0,0,0,20,20,40
Mountain,14,0,33,0,0,0,20,20,25
Mountain,18,0,33,0,0,0,20,20,40
Mountain,22,0,33,0,0,0,20,20,30
Mountain,26,0,33,0,0,0,20,20,40
Mountain,30,0,33,0,0,0,20,20,20
Mountain,34,0,29,0,0,0,20,20,20
Mountain,38,0,25,0,0,0,20,20,25
Mountain,38,0,21,0,0,0,20,20,30
Mountain,38,0,17,0,0,0,20,20,20
Mountain,38,0,13,0,0,0,20,20,25
Mountain,38,0,9,0,0,0,20,20,20
Mountain,38,0,5,0,0,0,20,20,30
Mountain,38,0,1,0,0,0,20,20,40
Mountain,34,0,-3.480003,0,0,0,20,20,30
Mountain,34,0,-7.480003,0,0,0,20,20,30
Mountain,34,0,-11.48,0,0,0,20,20,25
Mountain,34,0,-15,0,0,0,20,20,20
Mountain,34,0,-19,0,0,0,20,20,25
Mountain,34,0,-23,0,0,0,20,20,20
Mountain,34,0,-27,0,0,0,20,20,30
Mountain,34,0,-31,0,0,0,20,20,40
Mountain,34,0,-35,0,0,0,20,20,25
Mountain,34,0,-39,0,0,0,20,20,30
Mountain,38,0,-39,0,0,0,20,20,15
Mountain,42,0,-39,0,0,0,20,20,30
Mountain,42,0,-43,0,0,0,20,20,30
Mountain,42,0,-47,0,0,0,20,20,25
Mountain,42,0,-51,0,0,0,20,20,20
Mountain,42,0,-55,0,0,0,20,20,30
Mountain,42,0,-59,0,0,0,20,20,20
Mountain,42,0,-63,0,0,0,20,20,60
Mountain,42,0,-67,0,0,0,20,20,30
Mountain,42,0,-71,0,0,0,20,20,30
Mountain,38,0,-71,0,0,0,20,20,30
Mountain,34,0,-71,0,0,0,20,20,20
Mountain,30,0,-71,0,0,0,20,20,15
Mountain,26,0,-71,0,0,0,20,20,40
Mountain,22,0,-71,0,0,0,20,20,30
Mountain,18,0,-71,0,0,0,20,20,25
Mountain,18,0,-75,0,0,0,20,20,25
Mountain,18,0,-79,0,0,0,20,20,25
Mountain,22,0,-79,0,0,0,20,20,19
Mountain,26,0,-79,0,0,0,20,20,25
Mountain,30,0,-79,0,0,0,20,20,17
Mountain,34,0,-79,0,0,0,20,20,25
Mountain,38,0,-79,0,0,0,20,20,20
Plane,90,0,-120,0,0,0,3,1,3
Plane,60,0,-120,0,0,0,3,1,3
Plane,30,0,-120,0,0,0,3,1,3
Plane,0,0,-120,0,0,0,3,1,3
Plane,-30,0,-120,0,0,0,3,1,3
Plane,-60,0,-120,0,0,0,3,1,3
Plane,-90,0,-120,0,0,0,3,1,3
Plane,90,0,-90,0,0,0,3,1,3
Plane,60,0,-90,0,0,0,3,1,3
Plane,30,0,-90,0,0,0,3,1,3
Plane,0,0,-90,0,0,0,3,1,3
Plane,-30,0,-90,0,0,0,3,1,3
Plane,-60,0,-90,0,0,0,3,1,3
Plane,-90,0,-90,0,0,0,3,1,3
Plane,90,0,-60,0,0,0,3,1,3
Plane,60,0,-60,0,0,0,3,1,3
Plane,30,0,-60,0,0,0,3,1,3
Plane,0,0,-60,0,0,0,3,1,3
Plane,-30,0,-60,0,0,0,3,1,3
Plane,-60,0,-60,0,0,0,3,1,3
Plane,-90,0,-60,0,0,0,3,1,3
Plane,90,0,-30,0,0,0,3,1,3
Plane,60,0,-30,0,0,0,3,1,3
Plane,30,0,-30,0,0,0,3,1,3
Plane,0,0,-30,0,0,0,3,1,3
Plane,-30,0,-30,0,0,0,3,1,3
Plane,-60,0,-30,0,0,0,3,1,3
Plane,-90,0,-30,0,0,0,3,1,3
Plane,90,0,0,0,0,0,3,1,3
Plane,60,0,0,0,0,0,3,1,3
Plane,30,0,0,0,0,0,3,1,3
Plane,0,0,0,0,0,0,3,1,3
Plane,-30,0,0,0,0,0,3,1,3
Plane,-60,0,0,0,0,0,3,1,3
Plane,-90,0,0,0,0,0,3,1,3
Plane,90,0,30,0,0,0,3,1,3
Plane,60,0,30,0,0,0,3,1,3
Plane,30,0,30,0,0,0,3,1,3
Plane,0,0,30,0,0,0,3,1,3
Plane,-30,0,30,0,0,0,3,1,3
Plane,-60,0,30,0,0,0,3,1,3
Plane,-90,0,30,0,0,0,3,1,3
Plane,90,0,60,0,0,0,3,1,3
Plane,60,0,60,0,0,0,3,1,3
Plane,30,0,60,0,0,0,3,1,3
Plane,0,0,60,0,0,0,3,1,3
Plane,-30,0,60,0,0,0,3,1,3
Plane,-60,0,60,0,0,0,3,1,3
Plane,-90,0,60,0,0,0,3,1,3
Plane,90,0,90,0,0,0,3,1,3
Plane,60,0,90,0,0,0,3,1,3
Plane,30,0,90,0,0,0,3,1,3
Plane,0,0,90,0,0,0,3,1,3
Plane,-30,0,90,0,0,0,3,1,3
Plane,-60,0,90,0,0,0,3,1,3
Plane,-90,0,90,0,0,0,3,1,3
Plane,90,0,120,0,0,0,3,1,3
Plane,60,0,120,0,0,0,3,1,3
Plane,30,0,120,0,0,0,3,1,3
Plane,0,0,120,0,0,0,3,1,3
Plane,-30,0,120,0,0,0,3,1,3
Plane,-60,0,120,0,0,0,3,1,3
Plane,-90,0,120,0,0,0,3,1,3
Plane,90,0,150,0,0,0,3,1,3
Plane,60,0,150,0,0,0,3,1,3
Plane,30,0,150,0,0,0,3,1,3
Plane,0,0,150,0,0,0,3,1,3
Plane,-30,0,150,0,0,0,3,1,3
Plane,-60,0,150,0,0,0,3,1,3
Plane,-90,0,150,0,0,0,3,1,3
Wall,30,0,-115,90,0,0,1,1,1
Wall,34,0,-109.95,90,270,0,1.42,1,1
Wall,37.7108,0,-102.83,90,0,0,0.752136,1,1
Wall,38,0,-90,90,270,0,2.96,1,1
Wall,34.2752,0,-82.38,90,180,0,3.990883,1,1
Wall,14.3,1.7331,-74.8175,90,270,0,1.514251,1,0.6534
Wall,26.8146,0,-67.19,90,0,0,2.502571,1,1
Wall,38,0,-55.2214,90,270,0,2.711656,1,1
Wall,34.4086,0,-42.5,90,180,0,0.8616375,1,1
Wall,30,0,-21.1073,90,270,0,4.281308,1,1
Wall,32.8933,0,0.2699966,90,0,0,0.5621358,1,1
Wall,33.73,0,12.8383,90,270,0,2.558938,1,1
Wall,32.0212,0,25.4,90,180,0,0.3895991,1,1
Wall,30.17,0,27.5964,90,270,0,0.4204245,1,1
Wall,11.9194,0,29.02,90,180,0,3.76237,1,1
Wall,-6.709999,0,28.3649,90,90,0,0.4144306,1,1
Wall,-8.82,0,26.41,90,180,0,0.403724,1,1
